r,f,m,customers,buyers
1,1,1,796,69
1,1,2,796,55
1,1,3,798,51
1,1,4,796,50
1,1,5,796,48
1,2,1,798,30
1,2,2,795,30
1,2,3,796,32
1,2,4,797,36
1,2,5,799,34
1,3,1,786,20
1,3,2,788,29
1,3,3,781,29
1,3,4,784,23
1,3,5,789,32
1,4,1,634,14
1,4,2,615,19
1,4,3,653,19
1,4,4,633,17
1,4,5,634,19
1,5,1,806,20
1,5,2,934,27
1,5,3,751,21
1,5,4,937,28
1,5,5,808,19
2,1,1,789,36
2,1,2,792,43
2,1,3,787,42
2,1,4,790,47
2,1,5,789,27
2,2,1,724,20
2,2,2,731,29
2,2,3,725,32
2,2,4,715,26
2,2,5,729,39
2,3,1,471,16
2,3,2,475,5
2,3,3,471,6
2,3,4,468,12
2,3,5,468,11
2,4,1,719,19
2,4,2,720,12
2,4,3,716,13
2,4,4,724,13
2,4,5,722,19
2,5,1,1152,15
2,5,2,1114,27
2,5,3,1210,26
2,5,4,1159,20
2,5,5,1144,15
3,1,1,805,28
3,1,2,807,27
3,1,3,806,29
3,1,4,807,27
3,1,5,801,17
3,2,1,747,14
3,2,2,745,19
3,2,3,750,20
3,2,4,740,13
3,2,5,753,16
3,3,1,766,15
3,3,2,768,15
3,3,3,772,14
3,3,4,746,15
3,3,5,806,17
3,5,1,1522,22
3,5,2,1564,15
3,5,3,1678,30
3,5,4,1343,16
3,5,5,1564,25
4,1,1,885,27
4,1,2,886,25
4,1,3,885,24
4,1,4,883,17
4,1,5,882,16
4,2,1,412,9
4,2,2,413,4
4,2,3,412,8
4,2,4,425,10
4,2,5,407,7
4,3,1,826,9
4,3,2,836,14
4,3,3,794,16
4,3,4,857,14
4,3,5,833,21
4,4,1,1838,29
4,4,2,1884,29
4,4,3,1490,13
4,4,4,1903,20
4,4,5,1719,25
5,1,1,875,17
5,1,2,877,24
5,1,3,874,21
5,1,4,877,13
5,1,5,874,20
5,2,1,476,8
5,2,2,478,8
5,2,3,478,14
5,2,4,473,10
5,2,5,478,4
5,3,1,805,13
5,3,2,813,12
5,3,3,814,19
5,3,4,791,13
5,3,5,810,12
5,4,1,1672,12
5,4,2,1710,24
5,4,3,1599,16
5,4,4,1738,19
5,4,5,1675,20
